scientific_name,family,genre,alternative_scientific_names,ca_common_name,description,additional_info,islands,habitat,edibility,es_common_name
Agaricus pseudopratensis var. niveus Bohus,Agaricaceae,Agaricus,,['Xampinyó'],"Esta seta blanca posee un sombrero de hasta 9 cm de diámetro, hemisférico y posteriormente más plano y hundido algo en el centro. El sombrero puede volverse amarillo cuando lo manipulamos. Debajo de éste encontramos las láminas blanco rosadas, que pasan a rosa y finalmente marrón chocolate con la arista blanquecina. El pie corto y curvado lleva un anillo en la parte superior con el margen bastante marcado. Las esporas son marrones en masa y casi redondas, de 5-7 x 4-5 micras","Especie rara y tóxica, que cuando cortamos la carne del pie toma una coloración vinosa. Además hace un olor fenólica muy acusada","['Ibiza', 'Mallorca']",['Dunes'],Tòxic,
Hygrophorus russula (Fr.) Kauffman,Hygrophoraceae,Hygrophorus,"['Agaricus russula Schaef.', 'Tricholoma russula Gill']","['Carlet', 'Escarlet']","Sombrero convexo con el margen enrollado que poco a poco se abre, se aplana y a menudo se deforma. La cutícula presenta pequeñas escamas muy apretadas con coloraciones vinosas o púrpuras y en los viejos presentan manchas amarillentas más marcadas en el margen. En tiempo húmedo presenta viscosidad. La superficie del sombrero llega a dimensiones considerables de 4 a 12 cm. Debajo del sombrero las láminas son decurrentes, blancas, separadas y con manchas y la arista color vino. El pie es corto y grueso, de 3 a 8 cm x 1 a 3,5 cm, cilíndrico, blanquecino manchado de color vino. Las esporas son blancas en masa, elípticas, de 6-7 x 4-5 micras","Suele encontrarse en grupos de numerosos individuos. Es buen comestible, pero se recomienda sacarle la piel y hervirlo antes de cocinar, porque sino puede tener gusto amargo",['Mallorca'],['Alzinar'],Comestible,['Higróforo escarlata']
Agaricus subperonatus (J. E. Lange) Singer,Agaricaceae,Agaricus,,['Xampinyó'],"Seta con un sombrero de hasta 10 cm de diámetro, primero hemisférico, y poco a poco se va abriendo. Este presenta un disco central disociado en escamas más o menos triangulares de color marrón o un poco cobrizo; éstas son muy apretadas y se disponen en forma de tejado. Las láminas son libres, rosadas y finalmente color chocolate y el pie es corto y más delgado en la parte superior. Tiene una zona marrón hacia la base, como un resto de velo universal y presenta un anillo colgando estrecho y con doble margen. Las esporas son marrón en masa y ovaladas, de 6-7,5 x 4,5-5,5 micras",La carne es blanca y cuando la tocamos se vuelve roja,['Mallorca'],"['Alzinar', 'Pinares y otras coníferas']",Comestible,
Agaricus xanthodermus Genev,Agaricaceae,Agaricus,"['Psalliota xanthoderma (Gen.) Rich. i Rose', 'Pratella cretacea (Fr.) ss. Quél']",['Xampinyó'],"Seta de color blanco que se caracteriza por cambiar de color, a amarillo, cuando se toca y por el olor a gas que hace. El sombrero de 4 a 15 cm de diámetro es globoso al principio pasando después a plano. Las láminas son de color rosa inicialmente volviéndose marrón chocolate, finas, apretadas y libres. El pie, blanco, es cilíndrico, uniforme, ondulat y de 8 a 20 cm de longitud. El anillo es ancho, persistente y presenta escamas en la parte inferior. Las esporas son de color marrón violáceo en masa, ovoides, de 5-6,5 x 3,5-4 micras",Es tóxica. Hay variedades de la misma especie que podemos encontrar en las otras Islas,"['Cabrera', 'Dragonera', 'Formentera', 'Ibiza', 'Mallorca', 'Menorca']","[""Garriga d'ullastre"", 'Pinares y otras coníferas']",Tòxic,['Agárico amarilleante']
Cystoderma amianthinum (Scop.) Fayod,Agaricaceae,Cystoderma,"['Lepiota amianthina Karst.', 'Lepiota granulosa Quél']",,"Pequeña seta con un sombrero de 2 a 5 cm de diámetro, hemisférico o plano convexo, de color amarillo cremoso a ocre, más oscuro en el centro y cubierto de pruina. Del disco central al margen presenta un tipo de pliegues arrugados. Las láminas de debajo son blancas, desiguales, de adherentes a escotadas, con numerosas lamelas. El pie es cilíndrico engrosado en la base y a partir de un cm por debajo del sombrero presenta escamas o granulosidades repartidas que le dan un aspecto característico. Además presenta un anillo harinoso, poco aparente, de color parecido al sombrero. Las esporas son blanquecinas en masa, de forma elíptica, de 5,5-6 x 3-4 micras",Es rara,['Mallorca'],,Indiferent,
Lepiota aspera (Pers.) Quél,Agaricaceae,Lepiota,['Lepiota acutesquamosa (Weinm.) Gill. Var. Furcata Kühner'],,"Lepiota inconfundible por la morfología de su sombrero con numerosas y fuertes escames en forma de espinas que se desprenden al tacto. El sombrero, de 5 a 12 cm de diámetro primeramente globoso y aplanado con la edad y de color marrón tierra a cobrizo. Las láminas son blancas, libres y con la arista típicamente bifurcada. El pie es corto y grueso, de 4 a 15 x 0,5 a 1,5 cm, cilíndrico y más ancho en la base, de color parecido al sombrero o más claro. Tiene un anillo frágil con restos de espinas piramidales. Las esporas son blanquecinas en masa, elipsoidals, de 6-10 x 3,5-5 micras",Se considera una especie rara. Hace falta rechazarla puesto que puede ser tóxica,['Mallorca'],['Alzinar'],Tòxic,['Lepiota de escamas agudas']
Lepiota castanea Quél,Agaricaceae,Lepiota,,,"Es una pequeña Lepiota con un sombrero de 2 a 4 cm de diámetro, primero acampanado y después plano con un mamellón ancho en el centro. Tiene una cutícula blanquecina con un disco central disociado en escamas no mucho gruesas en forma de mechas de color marrón cobrizo más o menos oscuras. Las numerosas láminas están apretadas, son blancas y libres al pie. El pie, cilíndrico, de 2 a 4,5 cm x 2 a 2,5 mm está recubierto en los dos tercios inferiores por un velo que se rompe en escamas algodonosas de color castaño oscuro y presenta un anillo fugaz no membranoso. Las esporas son blancas en masa, elípticas, de 9-12 x 3,5-5 micras",,['Mallorca'],['Alzinar'],Tòxic,['Lepiota castaña']
Lepiota clypeolaria (Bull.) Quél,Agaricaceae,Lepiota,,,"Seta con un mamellón central en el sombrero de color tierra claro, disociado hacia los márgenes en escamas concéntricas, casi lanosas y de color más claro. El sombrero mide de 4 a 8 cm de diámetro. Las láminas son escotadas, blanquecinas y ventrudas y el pie, es cilíndrico, de 5 a 10 cm x 4 a 12 mm y con un anillo poco definido y fugaz que marca por debajo el inicio del aspecto lanoso del mismo. Las esporas son blancas en masa, fusiformes, de 13-14 x 4-6 micras",Frecuente en la zona de Lluc y centro de Mallorca,"['Cabrera', 'Mallorca']","['Alzinar', 'Pinares y otras coníferas']",Tòxic,['Lepiota en escudo']
Lepiota cristata (Bolton) P. Kumm,Agaricaceae,Lepiota,,,"Esta seta se caracteriza por su olor a hierro. Tiene un sombrero de hasta 4 cm de diámetro, primero acampanado y con los márgenes pegados al pie, que con el tiempo se abre hasta acabar plano. Este presenta un disco central de color marrón castaño a un poco cobrizo disociado hacia los márgenes en forma de escamas y formando centros concéntricos. La cutícula excede el margen del sombrero. Las numerosas láminas están separadas y son de color blanco volviéndose crema amarillento con el tiempo. El pie es más grueso hacia la base dónde presenta un micelio algodonoso con rizomorfos blancos y todo él es blanco, volviéndose color carne. Presenta un anillo membranoso fugaz. Las esporas son blancas en masa, elípticas, con un espolón en una de las cabezas, de 6-8 x 5-3,5 micras",Tóxica como la mayor parte de las Lepiota pequeñas,"['Ibiza', 'Mallorca', 'Menorca']","['Alzinar', 'Camps de conreu, vores de camins']",Tòxic,
Lepiota josserandii Bon & Boiffard,Agaricaceae,Lepiota,['Lepiota helveola ss Josserand'],,"Seta con un mamellón en el sombrero de color marrón cobrizo, disociado en pequeñas escamas repartidas por el resto del sombrero. Éste mide de 2,6 a 6 cm de diámetro, primero acampanado y luego plano y de color blanquecino o un poco cobrizo. Las numerosas láminas que tiene son blancas, libres y un poco separadas del pie, dejando un collarin que lo rodea. El pie es fibroso y largo, de color blanco a un poco cobrizo presentando en la parte inferior escamas blancas con margen cobrizo. El anillo queda reducido a unas escamas cobrizas y un poco algodonosas, que con la edad desaparecen. Las esporas son blancas en masa, elípticas, de 6-8 x 3-4 micras",Es una especie tóxica y mortal frecuente en Mallorca y Cabrera,"['Cabrera', 'Mallorca']",['Pinares y otras coníferas'],Tòxic,
Macrolepiota mastoidea (Fr.) Singer,Agaricaceae,Macrolepiota,"['Lepiota mastoidea Fr.', 'Lepiota umbonata J. E. Lange']","['Apagallum', 'Campanilles']","Seta con sombrero de hasta 12 cm de diámetro, con láminas apretadas y muy numerosas de color blanco que con la edad amarillean. De joven el sombrero está totalmente plegado contra el pie y poco a poco el sombrero se va abriendo y volviéndose plano, conservando un mamellón ancho, central y no muy alto. Tiene una coloración beige marrón ligeramente crema. El pie es largo, como atigrado. Por encima del anillo es de color beige sobre un fondo blanco y de color más fuerte por debajo. Las esporas son blancas en masa, elípticas, de 12-15 x 8-9 micras",Sólo se consumen los sombreros. No es demasiado frecuente,"['Mallorca', 'Menorca']","[""Garriga d'ullastre"", 'Pinares y otras coníferas']",Comestible,
Lepiota pseudohelveola Kühner,Agaricaceae,Lepiota,,,"Seta con el pie más largo que el diámetro del sombrero, de color crema y un poco más ancho y grueso hacia la base. Presenta en el pie un anillo más o menos persistente, debajo del cual existen escamas de color parecido a las escamas del sombrero que son marrón grisáceo. El sombrero de hasta 3 cm de diámetro, primeramente es convexo y después plano con un mamellón ancho y bajo en el centro, de color marrón oscuro y disociado en los márgenes en escamas. Las láminas son libres, blanquecinas y un poco ventrudas y las esporas son blancas en masa, elípticas, de 7-10 x 4-5 micras","Es tóxica, aunque es una especie más bien rara",['Mallorca'],['Pinares y otras coníferas'],Tòxic,
Lepiota rhodorrhiza Romagn. & Locq,Agaricaceae,Lepiota,,,"Seta con un sombrero de hasta 4 cm de diámetro, primero ovoide, después abierto hasta acabar plano, con un mamellón central ancho marrón rosado a cobrizo, disociado hacia fuera en pequeñas escamas del mismo color o más oscuras. El margen es blanquecino y tiene una parte libre de escamas. Las numerosas láminas con lamelas son de color blanco y están separadas del pie. Las esporas son blancas en masa, de elípticas a ovoides y de 5-7 x 3-4 micras. El pie es cilíndrico, más grueso en la base, blanquecino y cubierto por debajo la zona anular de pequeñas escamas algodonosas del mismo color que las del sombrero. Puede presentar anillo pero es muy fugaz","Se debe rechazar como todas las Lepiotas de menos de 10 cm de diámetro, puesto que pueden ser tóxicas, incluso mortales","['Ibiza', 'Mallorca']","['Alzinar', 'Pinares y otras coníferas']",Tòxic,
Leucoagaricus gaillardii Bon & Boiffard,Agaricaceae,Leucoagaricus,,,"Seta con un sombrero de 4 a 9 cm de diámetro, al principio hemisférico y después se abre aunque no completamente. Tiene un mamellón de color marrón claro a marrón cobrizo. El sombrero se encuentra disociado en el margen con escamas en forma de mechas del mismo color que el centro. Las numerosas láminas que tiene están libres, separadas y de color blanco puro. El pie es napiforme tan largo como el diámetro del sombrero, más o menos napiforme y de color blanco puro, excepto la base que es cobriza y presenta restos de velo. En la parte inferior del pie encontramos un anillo blanco con el margen cobrizo. Si todavía tenemos duda de la seta se puede identificar rápidamente si se hace un corte y vuelve marrón cobrizo oscuro. Las esporas son blancas en masa, subglobosas o elípticas, de 7,3-10,5 x 5,8-6,3 micras",Especie rara. No se conoce si es o no comestible y sólo se ha encontrado en la playa del Amarador y en las dunas de la playa de Alcúdia (Mallorca),['Mallorca'],['Dunes'],,
Leucoagaricus subpudicus Bon,Agaricaceae,Leucoagaricus,,,"Seta todo ella de color blanco, más gris en las vejeces. El sombrero, de 3 a 6 cm de diámetro posee un mamellón central bajo y ancho que destaca por su color un poco grisáceo. Al principio el sombrero es hemisférico pero pronto se abre. Las láminas que son rectas y libres con la edad se vuelven algo rosadas. El pie es corto y bulboso hacia la base y posee un anillo blanco, ínfero y doble. Las esporas son crema-rosado en masa, elípticas o casi ovoidales, de 8-10 x 5,5-6,4 (7) micras","Especie muy rara en las Baleares. No tenemos datos sobre su comestibilidad, pero por su rareza pensamos que se debe proteger",['Cabrera'],['Pinares y otras coníferas'],,
Amanita ovoidea (Bull.) Link,Amanitaceae,Amanita,['Amanita alba Pers'],"['Bolet blanc', 'Bolet bord', 'Farinera', 'Farineta', 'Pixacà']","Como su nombre indica esta seta presenta un sombrero al principio y durante mucho tiempo como un huevo ovoide cubierto por un velo blanco que posteriormente se abre quedando un sombrero convexo de 10 a 20 cm de diámetro. El margen puede llevar restos membranosos- algodonosos del velo parcial que une el sombrero al pie y protege las láminas. Estas son blancas, gruesas, muy apretades y libres del pie. El pie de 10-20 x 2-4 cm, robusto, blanco, cilíndrico y cubierto de una clase de harina que embadurna los dedos cuando se toca. El pie se enfunda en la base en una amcha volva muy consistente, blanca o blanco-amarillenta. El anillo, frágil, es difícil de observar completo porque se rompe con facilidad. Las esporas son blancas en masa, elípticas, de 10 x 7 micras y en cantidad tan grande que recuerda a la harina",Especie frecuente en terrenos calcáreos,"['Cabrera', 'Dragonera', 'Formentera', 'Ibiza', 'Mallorca', 'Menorca']","['Alzinar', 'Pinares y otras coníferas']",Indiferent,['Amanita blanca']
Amanita baccata (Fr.) Gillet,Amanitaceae,Amanita,"['Amanita boudieri Barla. ', 'Amanita solitaria (Bull.: Fr.) Quél. ', 'Amanita strobiliformis (Vitt.) Quél']",,"Esta seta blanca tirando a beige grisáceo posee un sombrero de 8 a 15 cm de diámetro, primero hemisférico y posteriormente plano. La cutícula puede estar cuarteada y el margen es irregular y deshilachado. Tiene numerosas láminas blancas y libres que amarillean con la edad. El pie es tupido, largo y curvado y contiene un anillo fugaz, estriado. Tiene presencia de volva blanquinosa que se suele romper y separarse del pie en trozos de apariencia algodonosa. Las esporas son blancas en masa, elípticas, de 11-13 x 6-7,5 micras",Es una especie bastante rara,"['Formentera', 'Mallorca']",['Pinares y otras coníferas'],Comestible,
Amanita crocea (Quél.) Singer,Amanitaceae,Amanita,,,"El sombrero de esta seta primero es acampanado abriéndose hasta llegar a ser totalmente plano, de hasta 9 cm de diámetro con o sin mamellón central. Presenta un margen estriado y una coloración entre amarillo y cobrizo anaranjado, un poco más oscura en el centro. Las láminas son blancas, finas y apretadas. El pie es largo con escamas peludas y presenta en la base una volva elevada de color blanquecino. Las esporas son blancas en masa, esféricas, de 10-12 micras",Se debe comer bien cocida,['Menorca'],"['Alzinar', 'Pinares y otras coníferas']",Comestible,
Amanita echinocephala (Vittad.) Quél,Amanitaceae,Amanita,"['Amanita solitaria sense auct. Mult. ', 'Aspidella echinocephala (Vitt.) Gilb']",,"Seta característica por las numerosas verrugas de forma piramidal que se encuentran en el sombrero, siendo más evidentes en el centro del mismo. El sombrero es carnoso, hemisférico al principio y plano finalmente, blanco o gris plaeado, incluso gris amarillento. El margen es regular, coronado por una especie de membrana lacerada que sobresale. Las láminas están juntas, libres de color blanco crema hasta amarillo verdoso. El pie es cilíndrico, de 5-14 x 1,5-3 cm, sólido, tupido, bulbso en la base y cubierto de escamas. Al final del pie encontramos la volva formando unas bandas concéntricas de placas verrugosas. El anillo está bien definido estriado en la parte superior, con restos de velo. Las esporas son blancas verdosas en masa, elípticas, de 9-12 x 8-10 micras","Es comestible, pero de baja calidad",['Mallorca'],['Alzinar'],Indiferent,
Amanita mairei Foley,Amanitaceae,Amanita,,"['Blava', 'Cogoma']","Seta con el margen del sombrero característico con estrías muy profundas. El sombrero, gris ceniza, tiene de 8 a 15 cm de diámetro primero hemisférico y después abierto con el centro hundido. Puede presentar restos de velo universal en forma de placas anchas. Las láminas son blanquecinas, grandes, más o menos apretadas con numerosas lamelas. El pie es blanco con bandas de color crema, es largo, robusto y presenta en la base una volva gruesa, casi triangular, con el margen superior separado del pie. Las esporas son blancas en masa, ovoidales, de 10-13 x 7,5-8 micras",Se recomienda bien cocida para consumirla,"['Mallorca', 'Menorca']",['Pinares y otras coníferas'],Comestible,
Amanita proxima Dumée,Amanitaceae,Amanita,['Amanita ovoidea var. proxima (Dumée) Bon & Courtec'],['Farinera'],"Especie muy parecida a A.ovoidea pero más pequeña y casi nunca presenta restos de velo sobre el sombrero. El anillo es más persistente y estriado. La volva de color ocre está muy pegada al pie. Las esporas son blancas en masa, de elipsoidales a oblongas de 8-11 x 5-7 micras",Tiene olor desagradable y se considera que puede ser tóxica,"['Cabrera', 'Mallorca']",,Tòxic,
Amanita pantherina (CD.) Krombh,Amanitaceae,Amanita,,['Pixacà'],"Seta con un sombrero primero cónico y después plano con los márgenes estriados y de 5-10 cm de diámetro, de color marrón claro o marrón grisáceo. Éste está cubierto al principio por pequeñas escamas blancas concéntricas que son los restos del velo general, que se separan fácilmente por las gotas de lluvia o con los dedos. Debajo del sombrero, que es duro, tiene láminas blancas, finas y apretades, libres del pie. El pie es cilíndrico o ligeramente ensanchado en la base, de 6-12 x 0,5-1,5 cm, liso, blanco y provisto de un anillo membranoso, fino y generalmente muy regular, blanco y casi nada o nada estriado por la cara superior. Las esporas son blancas en masa, elípticas, de 10 x 8 micres","Es una especie muy tóxica, aunque no necesariamente mortal",['Mallorca'],['Alzinar'],Tòxic,"['Amanita pantera', 'Amanita panterina', 'Falso galipierno']"
Amanita spissa (Fr.) P. Kumm,Amanitaceae,Amanita,,,"Esta seta posee un gorro de hasta 15 cm de diámetro, hemisférico y posteriormente plano con el margen liso. Es de color castaño claro a ocre con tonos grisáceos o marrones con la parte superior untuosa al tacto y cubierta de verrugas más o menos adheridas. Debajo de éste se encuentran las láminas que son un poco decurrentes y blancas. El pie es robusto, blanco y más delgado en la parte superior. Porta un anillo persistente, muy ancho, estriado en la parte superior y puede estar cuarteado o dentado. Presenta volva generalmente disgregada en forma de escamas. Las esporas son blancas en masa, elipsoidales, de 8-10 x 6-7 micras",Poco frecuente. Es picante,['Mallorca'],"['Alzinar', 'Pinares y otras coníferas']",Comestible,
Amanita vaginata (Bull.:Fr.) Quél,Amanitaceae,Amanita,['Amanitopsis vaginata (Bull.:Fr.) Roz'],"['Blava', 'Cogoma', ""Gírgola d'alzina"", 'Lliseta', 'pentinella']","Seta con sombrero acampanado que posteriormente se abre y mide de 4 a 10 cm de diámetro de color gris ceniza a plomo, más claro hacia el margen, brillante en tiempo seco y un poco viscoso en tiempo húmedo. Puede estar parcialmente cubierto por trozos de velo universal, que son grandes, irregulares y blandos. Las láminas son blancas, juntas, muy anchas y libres y el pie también blanco con tonos grisáceos de 6-12 x 0,5-1 cm que se enfunda en una volva blanca que rodea la base del pie. Las esporas son blancas en masa, esféricas, de 9-12 micras","Corriente en otoño y existen numerosas variedades. Se debe consumir bien cocido, porque crudo es tóxico y puede provocar problemas hemolíticos",['Mallorca'],"['Alzinar', ""Garriga d'ullastre"", 'Pinares y otras coníferas']",Comestible,
Limacella furnacea (Letell.) E.J. Gilbert,Amanitaceae,Limacella,"['Limacella subfurnacea Contu', 'Limacella grisea Singer']",,"El sombrero de esta seta lo podemos encontrar hemisférico, convexo y abierto y tendido dependiendo de su edad, pero siempre de color marronáceo y viscoso cuando hay humedad. Puede medir hasta 8 cm de diámetro. Las láminas son blancas, libres y apretadas y el pie presenta dos coloraciones, blanquecino sobre el anillo y más claro por debajo. El pie es más largo que el diámetro del sombrero y el anillo es membranoso y perdura mucho tiempo. Las esporas son blancas en masa, de globosas a subglobosas, de 5-8 x 4,5-6,5 micras",Frecuente en todas las Islas,"['Cabrera', 'Dragonera', 'Formentera', 'Ibiza', 'Mallorca', 'Menorca']","[""Garriga d'ullastre"", 'Pinares y otras coníferas']",Indiferent,
Thecotheus cinereus (H. Crouan & P. Croauan) Chenant,Ascobolaceae,Thecotheus,,,"Seta que parece una verruga, de 4 mm de diámetro, que con el tiempo se alarga y se vuelve cilíndrica y con numerosos pelos pequeños y transparentes. La superficie externa es peluda y pruinosa del mismo color que el himenio. Éste tiene aspecto gelatinoso. Las esporas son elípticas, de 32-40 x 15-18 micras",,['Mallorca'],['Excrements'],Indiferent,
